state,action,reward,next_state
"[50.0, 14.78211784362793, 4.585846424102783]",0.0,-1.5453805868931227,"[50.0, 2.702854871749878, 6.481417179107666]"
"[50.0, 2.702854871749878, 6.481417179107666]",0.0,-0.006187572699606236,"[50.0, -6.158191204071045, 8.2782621383667]"
"[50.0, -6.158191204071045, 8.2782621383667]",0.0,0.0,"[50.0, -16.980335235595703, 5.272506237030029]"
"[50.0, -16.980335235595703, 5.272506237030029]",0.0,-7.2658211338662255,"[50.0, 39.0079231262207, 8.099150657653809]"
"[50.0, 39.0079231262207, 8.099150657653809]",0.0,-13.322661174169776,"[50.0, 17.908279418945312, 9.450936317443848]"
"[50.0, 17.908279418945312, 9.450936317443848]",0.0,-20.734384488977287,"[50.0, 50.92637634277344, 6.453643321990967]"
"[50.0, 50.92637634277344, 6.453643321990967]",0.0,-25.898319801336818,"[50.0, 85.382080078125, 8.136417388916016]"
"[50.0, 85.382080078125, 8.136417388916016]",0.0,-27.434383754833124,"[50.0, 106.77037048339844, 8.285054206848145]"
"[50.0, 106.77037048339844, 8.285054206848145]",0.0,-29.15272428731692,"[50.0, 86.9638900756836, 7.155845642089844]"
"[50.0, 86.9638900756836, 7.155845642089844]",0.0,-20.526130603147244,"[50.0, 63.742332458496094, 7.920156002044678]"
"[50.0, 63.742332458496094, 7.920156002044678]",0.0,-11.724224059551577,"[50.0, 29.445648193359375, 6.353732109069824]"
"[50.0, 29.445648193359375, 6.353732109069824]",0.0,-10.204475740407892,"[50.0, 43.79039001464844, 4.932225227355957]"
"[50.0, 43.79039001464844, 4.932225227355957]",0.0,-10.079816349708558,"[50.0, 36.28391647338867, 4.406476974487305]"
"[50.0, 36.28391647338867, 4.406476974487305]",0.0,-13.205352021972239,"[50.0, 49.28040313720703, 4.516179084777832]"
"[50.0, 49.28040313720703, 4.516179084777832]",0.0,-22.105553275940128,"[50.0, 66.01376342773438, 3.1840288639068604]"
"[50.0, 66.01376342773438, 3.1840288639068604]",0.0,-32.900379268366834,"[50.0, 96.9957504272461, 1.6426376104354858]"
"[50.0, 96.9957504272461, 1.6426376104354858]",0.0,-37.48941739787295,"[50.0, 102.46505737304688, 0.8617457747459412]"
"[50.0, 102.46505737304688, 0.8617457747459412]",0.0,-35.69810448913258,"[50.0, 118.02657318115234, 0.49664005637168884]"
"[50.0, 118.02657318115234, 0.49664005637168884]",0.0,-34.221184699881874,"[50.0, 111.03413391113281, 2.330662488937378]"
"[50.0, 111.03413391113281, 2.330662488937378]",0.0,-30.34676760513666,"[50.0, 84.9581527709961, 4.0361199378967285]"
"[50.0, 84.9581527709961, 4.0361199378967285]",0.0,-22.38151699304343,"[50.0, 73.3213119506836, 2.5895957946777344]"
"[50.0, 73.3213119506836, 2.5895957946777344]",0.0,-17.663848908871767,"[50.0, 51.757789611816406, 3.2408323287963867]"
"[50.0, 51.757789611816406, 3.2408323287963867]",0.0,-7.759742506499914,"[50.0, 41.28040313720703, 4.239139080047607]"
"[50.0, 41.28040313720703, 4.239139080047607]",0.0,-2.4550613433388544,"[50.0, 7.4570441246032715, 5.633195877075195]"
"[50.0, -20.32736587524414, 2.7893450260162354]",0.0,-4.042328803238798,"[50.0, -8.766904830932617, 5.458886623382568]"
"[50.0, -8.766904830932617, 5.458886623382568]",0.0,-1.0445603899610563,"[50.0, -4.344120502471924, 5.144561767578125]"
"[50.0, -4.344120502471924, 5.144561767578125]",0.0,-4.32536543365463,"[50.0, 22.4964599609375, 6.357029438018799]"
"[50.0, 22.4964599609375, 6.357029438018799]",0.0,-0.5913816854790986,"[50.0, 12.848991394042969, 9.927203178405762]"
"[50.0, 12.848991394042969, 9.927203178405762]",0.0,-6.217351459377286,"[50.0, 37.092498779296875, 6.13179874420166]"
"[50.0, 37.092498779296875, 6.13179874420166]",0.0,-18.220792645480934,"[50.0, 61.274208068847656, 8.5555419921875]"
"[50.0, 61.274208068847656, 8.5555419921875]",0.0,-22.44002551208617,"[50.0, 105.24116516113281, 8.522897720336914]"
"[50.0, 105.24116516113281, 8.522897720336914]",0.0,-32.49798205812018,"[50.0, 104.47257995605469, 7.385191440582275]"
"[50.0, 104.47257995605469, 7.385191440582275]",0.0,-24.706857379767236,"[50.0, 96.08724975585938, 9.753483772277832]"
"[50.0, 96.08724975585938, 9.753483772277832]",0.0,-19.779745341544814,"[50.0, 59.64680480957031, 6.632641315460205]"
"[50.0, 59.64680480957031, 6.632641315460205]",0.0,-11.93638265296467,"[50.0, 41.71023178100586, 4.566534519195557]"
"[50.0, 41.71023178100586, 4.566534519195557]",-41.71023178100586,63.81497210476518,"[8.28976821899414, 22.430734634399414, 4.865281105041504]"
"[8.28976821899414, 22.430734634399414, 4.865281105041504]",0.0,-13.34988867276362,"[8.28976821899414, 36.57002639770508, 4.354249477386475]"
"[8.28976821899414, 36.57002639770508, 4.354249477386475]",0.0,-20.910481779215,"[8.28976821899414, 50.016326904296875, 3.814417839050293]"
"[8.28976821899414, 50.016326904296875, 3.814417839050293]",50.0,-22.10729464705518,"[58.28976821899414, 92.35921478271484, 1.1086400747299194]"
"[58.28976821899414, 92.35921478271484, 1.1086400747299194]",50.0,-30.91301413233728,"[100.0, 116.15982055664062, 2.7543885707855225]"
"[100.0, 116.15982055664062, 2.7543885707855225]",0.0,-31.00839964614086,"[100.0, 112.12793731689453, 0.6205534338951111]"
"[100.0, 112.12793731689453, 0.6205534338951111]",0.0,-38.25636910766168,"[100.0, 138.99252319335938, 1.7495149374008179]"
"[100.0, 138.99252319335938, 1.7495149374008179]",0.0,-30.958441672301518,"[100.0, 110.81192779541016, 1.621791124343872]"
"[100.0, 110.81192779541016, 1.621791124343872]",0.0,-29.44284133483809,"[100.0, 110.53053283691406, 1.3589041233062744]"
"[100.0, 110.53053283691406, 1.3589041233062744]",0.0,-26.600784670310798,"[100.0, 73.17823791503906, 2.1977224349975586]"
"[100.0, 73.17823791503906, 2.1977224349975586]",-73.17823791503906,117.05559303413766,"[26.821762084960938, 51.61343002319336, 2.950140953063965]"
"[26.821762084960938, 51.61343002319336, 2.950140953063965]",50.0,-8.311994032647691,"[76.82176208496094, 33.831748962402344, 3.8603432178497314]"
"[76.82176208496094, 33.831748962402344, 3.8603432178497314]",-33.831748962402344,74.41525643941297,"[42.990013122558594, -13.962447166442871, 4.884979724884033]"
"[50.0, 7.011295318603516, 4.428796768188477]",-7.011295318603516,16.577998804014168,"[42.988704681396484, 4.315266132354736, 4.900856018066406]"
"[42.988704681396484, 4.315266132354736, 4.900856018066406]",-4.315266132354736,0.9760635739183232,"[38.673439025878906, 14.462640762329102, 8.436429977416992]"
"[38.673439025878906, 14.462640762329102, 8.436429977416992]",-19.336719512939453,25.188782055129156,"[19.336719512939453, -2.6508727073669434, 7.1404194831848145]"
"[19.336719512939453, -2.6508727073669434, 7.1404194831848145]",-9.668359756469727,4.1267710040277485,"[9.668359756469727, 4.327919960021973, 6.917006969451904]"
"[9.668359756469727, 4.327919960021973, 6.917006969451904]",-4.834179878234863,-6.5283334539448,"[4.834179878234863, 32.96556091308594, 7.665351390838623]"
"[4.834179878234863, 32.96556091308594, 7.665351390838623]",0.0,-17.894797413852388,"[4.834179878234863, 54.14305114746094, 9.957337379455566]"
"[4.834179878234863, 54.14305114746094, 9.957337379455566]",0.0,-22.317131115117927,"[4.834179878234863, 80.8311996459961, 5.248624801635742]"
"[4.834179878234863, 80.8311996459961, 5.248624801635742]",0.0,-30.214980921600684,"[4.834179878234863, 104.86454010009766, 8.347140312194824]"
"[4.834179878234863, 104.86454010009766, 8.347140312194824]",0.0,-24.09096121843051,"[4.834179878234863, 81.44862365722656, 6.065324306488037]"
"[4.834179878234863, 81.44862365722656, 6.065324306488037]",0.0,-19.091071556392684,"[4.834179878234863, 72.45490264892578, 6.3420000076293945]"
"[4.834179878234863, 72.45490264892578, 6.3420000076293945]",0.0,-15.277064796087028,"[4.834179878234863, 41.174598693847656, 5.212238788604736]"
"[4.834179878234863, 41.174598693847656, 5.212238788604736]",0.0,-1.2558237238524186,"[4.834179878234863, 36.87186050415039, 6.376559257507324]"
"[4.834179878234863, 36.87186050415039, 6.376559257507324]",0.0,-10.808592671413988,"[4.834179878234863, 49.8117561340332, 4.687577247619629]"
"[4.834179878234863, 49.8117561340332, 4.687577247619629]",0.0,-18.50985490210496,"[4.834179878234863, 53.796226501464844, 4.339446067810059]"
"[4.834179878234863, 53.796226501464844, 4.339446067810059]",0.0,-23.011899542047615,"[4.834179878234863, 81.57821655273438, 4.7826247215271]"
"[4.834179878234863, 81.57821655273438, 4.7826247215271]",0.0,-29.206636295466964,"[4.834179878234863, 85.90861511230469, 0.8905402421951294]"
"[4.834179878234863, 85.90861511230469, 0.8905402421951294]",50.0,-41.415385079717225,"[54.83417892456055, 95.60872650146484, 2.174595355987549]"
"[54.83417892456055, 95.60872650146484, 2.174595355987549]",50.0,-32.556860084572385,"[100.0, 127.4785385131836, -1.0499285459518433]"
"[100.0, 127.4785385131836, -1.0499285459518433]",0.0,-38.601712816014654,"[100.0, 110.15862274169922, 0.6833419799804688]"
"[100.0, 110.15862274169922, 0.6833419799804688]",0.0,-28.384357988759348,"[100.0, 105.90638732910156, 1.3122210502624512]"
"[100.0, 105.90638732910156, 1.3122210502624512]",0.0,-22.137259875448247,"[100.0, 51.06819152832031, 2.4758574962615967]"
"[100.0, 51.06819152832031, 2.4758574962615967]",-51.06819152832031,23.830266156797943,"[48.93180847167969, 58.57514572143555, 5.057573318481445]"
