time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
100,11.462281,,,,
200,-17.407396,4.976172924041748,1920.2032470703125,0.001,99
300,-16.844604,18.5201473236084,1992.1807861328125,0.001,199
400,-17.673563,27.471515655517578,803.1981201171875,0.001,299
500,-17.98263,34.43257141113281,659.482421875,0.001,399
600,-16.56007,40.87152099609375,526.57763671875,0.001,499
700,22.644648,35.82511901855469,1076.0479736328125,0.001,599
800,93.53152,-14.869919776916504,3877.1845703125,0.001,699
900,95.51164,-94.81134033203125,3886.119384765625,0.001,799
1000,95.65211,-78.26913452148438,3186.063232421875,0.001,899
1100,89.56225,-123.88573455810547,3233.021484375,0.001,999
1200,102.33845,-174.95452880859375,5647.87109375,0.001,1099
1300,96.95259,-198.47482299804688,10047.27734375,0.001,1199
1400,104.92348,-255.73638916015625,12167.861328125,0.001,1299
1500,98.11,-269.5244445800781,12563.7724609375,0.001,1399
1600,93.891136,-338.90093994140625,18010.345703125,0.001,1499
1700,90.09695,-381.11309814453125,21392.732421875,0.001,1599
1800,95.63354,-414.9146728515625,22795.365234375,0.001,1699
1900,100.3277,-380.6141357421875,25342.6484375,0.001,1799
2000,90.888664,-496.26898193359375,26113.474609375,0.001,1899
2100,97.48455,-493.6479797363281,34199.5546875,0.001,1999
2200,94.63924,-558.6871337890625,26793.296875,0.001,2099
2300,92.116356,-568.7402954101562,23132.828125,0.001,2199
2400,91.884125,-673.7232666015625,37737.0390625,0.001,2299
2500,99.77672,-770.3363037109375,34382.6015625,0.001,2399
2600,92.168274,-748.0234375,36327.84765625,0.001,2499
2700,96.66225,-836.09375,51301.6015625,0.001,2599
2800,99.290886,-793.416015625,40265.41015625,0.001,2699
2900,88.9275,-875.1629028320312,44799.16015625,0.001,2799
3000,95.578766,-922.2351684570312,46387.94921875,0.001,2899
3100,95.04321,-965.5811767578125,50524.08984375,0.001,2999
3200,95.647736,-946.95703125,51827.34375,0.001,3099
3300,95.29137,-980.1900634765625,43090.13671875,0.001,3199
